id,migas,non_migas,total,month
124,227688781,1423577746,1651266527,2017-04-30
125,236061758,1726634339,1962696097,2017-05-31
126,241945798,1354185294,1596131092,2017-06-30
127,330090797,1664521631,1994612428,2017-07-31
128,298423124,1467606529,1766029653,2017-08-31
129,442428743,1438374214,1880802957,2017-09-30
130,375197580,1517326820,1892524400,2017-10-31
131,419490270,1583499820,2002990100,2017-11-30
132,457449470,1558951120,2016400590,2017-12-31
133,413116185,1623366093,2036482278,2018-01-31
134,383651515,1379714984,1763366499,2018-02-28
135,345416911,1433789899,1779206810,2018-03-31
136,319937600,1774407707,2094345307,2018-04-30
137,362455497,2054629567,2417085064,2018-05-31
138,401161001,1389586672,1790747673,2018-06-30
139,513873861,2317505123,2831378984,2018-07-31
140,330171630,1873256892,2203428522,2018-08-31
141,455267960,1540254949,1995522909,2018-09-30
142,499526115,1851084982,2350611097,2018-10-31
143,621357305,1690736585,2312093890,2018-11-30
144,381466032,1777892843,2159358875,2018-12-31
145,302307157,1746828262,2049135419,2019-01-31
146,320205541,1432401989,1752607530,2019-02-28
147,266646408,1505393949,1772040357,2019-03-31
148,441050917,1752707674,2193758591,2019-04-30
149,416894780,1644803147,2061697927,2019-05-31
150,393829353,1169598161,1563427514,2019-06-30
151,353861008,1639400032,1993261040,2019-07-31
152,312209438,1523926186,1836135624,2019-08-31
153,382720992,1548047838,1930768830,2019-09-30
154,346534118,1633787162,1980321280,2019-10-31
155,414049513,1741556104,2155605617,2019-11-30
156,454860145,1591854639,2046714784,2019-12-31
157,483358194,1541798164,2025156358,2020-01-31
158,394109421,1214789218,1608898639,2020-02-29
159,296616471,1493583843,1790200314,2020-03-31
160,168418996,1642420534,1810839530,2020-04-30
161,153453317,1110324214,1263777531,2020-05-31
162,134055347,1395268090,1529323437,2020-06-30
163,167759979,1208557897,1376317876,2020-07-31
164,226944897,1347206758,1574151655,2020-08-31
165,318151527,1430921174,1749072701,2020-09-30
166,246722690,1196011868,1442734558,2020-10-31
167,277977649,1506526228,1784503877,2020-11-30
168,310056171,1720637345,2030693516,2020-12-31
169,356958713,1395215472,1752174185,2021-01-31
170,338569022,1533699800,1872268822,2021-02-28
171,593281058,1763403803,2356684861,2021-03-31
172,457665578,1936994287,2394659865,2021-04-30
173,568896691,1508014068,2076910759,2021-05-31
174,378944541,1894039154,2272983695,2021-06-30
175,452440063,1678455876,2130895939,2021-07-31
176,496444848,1846227254,2342672102,2021-08-31
